utc_timestamp,GB_GBN_load_actual_tso,GB_GBN_load_forecast_entsoe_transparency,GB_GBN_price_day_ahead,GB_GBN_solar_capacity,GB_GBN_solar_generation_actual
2015-01-01T00:00:00Z,29058,31822,0,2669,0
2015-01-01T01:00:00Z,28663,31738,0,2669,0
2015-01-01T02:00:00Z,26626,30690,0,2669,0
2015-01-01T03:00:00Z,24778,28442,0,2669,0
2015-01-01T04:00:00Z,23212,25978,0,2669,0
2015-01-01T05:00:00Z,22751,24645,0,2669,0
2015-01-01T06:00:00Z,23292,25096,0,2669,0
2015-01-01T07:00:00Z,23712,25534,0,2669,0
2015-01-01T08:00:00Z,24528,26746,0,2669,23
2015-01-01T09:00:00Z,27102,29752,0,2669,102
2015-01-01T10:00:00Z,30054,33188,0,2669,178
2015-01-01T11:00:00Z,32382,35837,0,2669,368
2015-01-01T12:00:00Z,33930,37486,0,2669,560
2015-01-01T13:00:00Z,34249,37367,0,2669,476
2015-01-01T14:00:00Z,34244,37061,0,2669,399
2015-01-01T15:00:00Z,34916,37951,0,2669,476
2015-01-01T16:00:00Z,37424,40614,0,2669,804
2015-01-01T17:00:00Z,38506,41308,0,2669,1585
2015-01-01T18:00:00Z,37202,39920,0,2669,1230
2015-01-01T19:00:00Z,35424,38526,0,2669,1248
2015-01-01T20:00:00Z,33504,36724,0,2669,1201
2015-01-01T21:00:00Z,30940,33896,0,2669,583
2015-01-01T22:00:00Z,28706,30553,0,2669,284
2015-01-01T23:00:00Z,25986,27752,29.51,2669,0
2015-01-02T00:00:00Z,25284,28598,27.94,2682,0
2015-01-02T01:00:00Z,24618,27758,25.5,2682,0
2015-01-02T02:00:00Z,23634,27438,20.92,2682,0
2015-01-02T03:00:00Z,22658,26216,17.38,2682,0
2015-01-02T04:00:00Z,21988,25318,19.85,2682,0
2015-01-02T05:00:00Z,22617,26560,20.67,2682,0
2015-01-02T06:00:00Z,25345,30444,25.36,2682,0
2015-01-02T07:00:00Z,28573,34266,32,2682,206
2015-01-02T08:00:00Z,31410,37194,35.09,2682,468
2015-01-02T09:00:00Z,34046,39104,39.34,2682,1206
2015-01-02T10:00:00Z,34946,39780,37.45,2682,1985
2015-01-02T11:00:00Z,35370,40341,39.73,2682,2437
2015-01-02T12:00:00Z,35366,40889,44.07,2682,2385
2015-01-02T13:00:00Z,35280,40898,39.82,2682,2002
2015-01-02T14:00:00Z,35830,40376,36.54,2682,1452
2015-01-02T15:00:00Z,37184,41540,36.52,2682,580
2015-01-02T16:00:00Z,41868,45532,47.97,2682,1098
2015-01-02T17:00:00Z,44677,46954,80,2682,1491
2015-01-02T18:00:00Z,43752,45762,56.72,2682,1106
2015-01-02T19:00:00Z,41456,43550,37.13,2682,496
2015-01-02T20:00:00Z,38576,40991,44.52,2682,478
2015-01-02T21:00:00Z,35636,37734,37.09,2682,407
2015-01-02T22:00:00Z,32479,34360,36.86,2682,382
2015-01-02T23:00:00Z,29461,31366,35.77,2682,29
2015-01-03T00:00:00Z,28302,30560,35.94,2740,0
2015-01-03T01:00:00Z,27608,29844,35.65,2740,0
2015-01-03T02:00:00Z,26248,28894,33.02,2740,0
2015-01-03T03:00:00Z,25167,27598,32,2740,0
2015-01-03T04:00:00Z,24327,26360,31.72,2740,0
2015-01-03T05:00:00Z,24596,26866,35.93,2740,0
2015-01-03T06:00:00Z,26542,28752,35.95,2740,0
2015-01-03T07:00:00Z,28860,31010,36.03,2740,45
2015-01-03T08:00:00Z,32134,34402,37.42,2740,348
2015-01-03T09:00:00Z,35946,37506,39.93,2740,620
2015-01-03T10:00:00Z,38309,39054,45.05,2740,534
2015-01-03T11:00:00Z,39324,39458,44.96,2740,724
2015-01-03T12:00:00Z,39662,39620,44.91,2740,868
2015-01-03T13:00:00Z,39131,39650,41.59,2740,780
2015-01-03T14:00:00Z,38478,39572,36.57,2740,664
2015-01-03T15:00:00Z,38739,40464,40.65,2740,415
2015-01-03T16:00:00Z,42154,44098,57.92,2740,476
2015-01-03T17:00:00Z,44970,45684,74.34,2740,1329
2015-01-03T18:00:00Z,44052,44506,57.13,2740,772
2015-01-03T19:00:00Z,41741,42400,42.03,2740,825
2015-01-03T20:00:00Z,39174,40146,44.02,2740,388
