utc_timestamp,GB_temperature,GB_radiation_direct_horizontal,GB_radiation_diffuse_horizontal
2015-01-01T00:00:00Z,6.565,0,0
2015-01-01T01:00:00Z,6.715,0,0
2015-01-01T02:00:00Z,6.893,0,0
2015-01-01T03:00:00Z,7.093,0,0
2015-01-01T04:00:00Z,7.297,0,0
2015-01-01T05:00:00Z,7.469,0,0
2015-01-01T06:00:00Z,7.587,0,0
2015-01-01T07:00:00Z,7.76,0,0
2015-01-01T08:00:00Z,8.011,0.0454,3.3409
2015-01-01T09:00:00Z,8.338,0.3187,19.5719
2015-01-01T10:00:00Z,8.746,1.1392,46.3291
2015-01-01T11:00:00Z,9.167,1.9058,63.8823
2015-01-01T12:00:00Z,9.491,1.631,60.7078
2015-01-01T13:00:00Z,9.711,1.0706,46.9086
2015-01-01T14:00:00Z,9.867,0.605,29.3929
2015-01-01T15:00:00Z,9.933,0.1351,7.7911
2015-01-01T16:00:00Z,9.999,0.0001,0.0114
2015-01-01T17:00:00Z,10.135,0,0
2015-01-01T18:00:00Z,10.273,0,0
2015-01-01T19:00:00Z,10.365,0,0
2015-01-01T20:00:00Z,10.417,0,0
2015-01-01T21:00:00Z,10.466,0,0
2015-01-01T22:00:00Z,10.499,0,0
2015-01-01T23:00:00Z,10.37,0,0
2015-01-02T00:00:00Z,9.945,0,0
2015-01-02T01:00:00Z,9.343,0,0
2015-01-02T02:00:00Z,8.678,0,0
2015-01-02T03:00:00Z,8.025,0,0
2015-01-02T04:00:00Z,7.253,0,0
2015-01-02T05:00:00Z,6.501,0,0
2015-01-02T06:00:00Z,5.981,0,0
2015-01-02T07:00:00Z,5.579,0,0
2015-01-02T08:00:00Z,5.253,0.5448,7.4198
2015-01-02T09:00:00Z,5.371,11.4169,51.3139
2015-01-02T10:00:00Z,5.888,58.8812,83.4783
2015-01-02T11:00:00Z,6.429,100.4811,89.6685
2015-01-02T12:00:00Z,6.693,113.3191,86.6244
2015-01-02T13:00:00Z,6.622,93.2524,77.0978
2015-01-02T14:00:00Z,6.168,42.1331,59.5884
2015-01-02T15:00:00Z,5.062,4.5922,18.5891
2015-01-02T16:00:00Z,3.85,0.0035,0.0372
2015-01-02T17:00:00Z,3.404,0,0
2015-01-02T18:00:00Z,3.353,0,0
2015-01-02T19:00:00Z,3.218,0,0
2015-01-02T20:00:00Z,2.966,0,0
2015-01-02T21:00:00Z,2.989,0,0
